id,title,genre,release_year,rating
17155,Professional,Animation,2019,7.88
17156,Effort themselves member scene,Fantasy,1976,6.57
17157,Wind her,Drama,1971,7.49
17158,Hear throughout,Action,1966,6.99
17159,Town act,Drama,1961,6.82
17160,Writer force chance,Drama,1961,5.82
17161,Training far,Fantasy,1969,7.0
17162,West per,Crime,1988,3.56
17163,Girl claim democratic,Drama,1960,7.6
17164,Herself long,Comedy,1986,6.72
17165,Describe hard want,Musical,2013,9.11
17166,Collection give,Animation,1990,8.02
17167,Economy test,Animation,1952,7.0
17168,Just subject likely,Animation,1988,6.21
17169,Democrat learn sister like,Sci-Fi,2013,7.3
17170,Foreign entire,Musical,2017,7.77
17171,Score machine add month,Comedy,1943,6.27
17172,Boy evening,Drama,1946,6.61
17173,Adult above,Comedy,1950,6.84
17174,Tough different,Comedy,1997,5.97
17175,Edge environment talk,Comedy,1954,7.24
17176,Political pattern,Drama,1995,5.79
17177,Music resource put,Crime,1978,5.01
17178,Base practice finally,Drama,1955,7.19
17179,Avoid certainly second,Drama,2001,6.71
17180,Reality,Comedy,2005,7.15
17181,Family high guy,Animation,1973,9.58
17182,Recognize risk seem leg,Musical,1940,6.94
17183,Ask investment media,Action,1987,5.9
17184,Issue,Animation,2010,7.98
17185,Few down put,Thriller,1982,8.18
17186,Enjoy,Fantasy,2024,7.61
17187,Eight sell decide,Comedy,1999,5.41
17188,Focus human population,Action,1943,7.82
17189,Think area hit,Musical,2001,8.47
17190,Difficult specific,Comedy,2013,7.19
17191,Popular theory treatment,Drama,1945,7.49
17192,Nor land glass,Thriller,1977,6.32
17193,Hold those treat while,Thriller,1986,5.7
17194,Big apply,Thriller,1948,7.64
17195,Someone stage through,Comedy,2013,7.0
17196,Sort decision letter,Drama,1987,6.93
17197,Remain,Thriller,1955,7.09
17198,Kitchen,Thriller,1943,6.04
17199,Month body individual,Action,1967,6.38
17200,Major act,Animation,2006,8.41
17201,Throw serve win forward,Fantasy,2015,5.72
17202,Could attention under,Comedy,1991,5.61
17203,Let certainly,Fantasy,1946,7.17
17204,Quickly difference dinner,Comedy,2017,6.9
17205,First mission blue,Animation,1980,7.48
17206,Firm to,Thriller,2014,6.44
17207,Activity share subject rather,Drama,1983,7.53
17208,Follow indicate,Drama,1990,6.26
17209,Mrs population,Crime,2017,5.68
17210,Energy charge play,Drama,1972,6.16
17211,Much speech help,Fantasy,1965,6.56
17212,Executive adult television,Musical,2022,5.8
17213,Data few reality,Thriller,1945,6.99
17214,Worry alone thing,Comedy,2016,7.83
17215,Seven girl,Comedy,1980,10.0
17216,Sign several as,Drama,1973,7.28
17217,New tend around group,Thriller,1992,5.51
17218,Finish campaign,Sci-Fi,2013,8.1
17219,Home draw,Drama,2022,7.09
17220,Require,Fantasy,1960,6.31
17221,Direction land,Drama,1952,8.51
17222,Center bit play,Drama,1945,6.65
17223,Admit go story,Comedy,1952,6.62
17224,Month family,Fantasy,1998,7.05
17225,Bring,Drama,2011,6.88
17226,Floor without stage,Crime,1940,5.51
17227,Will than term,Comedy,2006,6.07
17228,Former white support,Fantasy,2013,7.14
17229,Compare teach,Action,1975,6.11
17230,Fund,Comedy,1994,7.32
17231,Happy discussion,Comedy,1979,6.54
17232,Word region food,Action,2005,6.73
17233,True up,Sci-Fi,1951,7.23
17234,Turn perhaps,Fantasy,1989,6.84
17235,Few anyone,Comedy,2014,7.72
17236,Many operation like,Thriller,1961,7.17
17237,Team government sell mother,Action,1947,7.88
17238,Home arrive statement,Fantasy,1943,8.49
17239,Word thing,Sci-Fi,2005,6.15
17240,Start pull,Comedy,1991,5.8
17241,Operation society after good,Crime,1960,7.84
17242,Call easy daughter,Action,1990,5.65
17243,Anything trial father,Musical,2003,7.27
17244,Today fine way,Action,2008,6.43
17245,Other partner,Crime,1959,6.01
17246,Mouth force spring,Crime,2003,6.09
17247,Serious turn,Thriller,2005,7.0
17248,Charge civil,Animation,2014,6.49
17249,Believe high,Action,1981,7.82
17250,Sometimes more,Drama,1992,5.8
17251,Friend investment face,Action,2013,6.85
17252,Civil through,Drama,1961,5.78
17253,Vote management individual,Musical,1983,8.11
17254,Nature woman,Fantasy,1974,6.3
17255,Lose tonight police,Comedy,1966,8.26
17256,Man news activity,Comedy,1968,7.2
17257,Collection partner,Crime,2024,5.96
17258,New language have ask,Drama,1978,6.38
17259,Send history option,Fantasy,1950,6.64
17260,Lawyer professor,Drama,1974,7.41
17261,Just road threat,Crime,1956,4.34
17262,Situation both,Comedy,1956,6.01
17263,Crime onto,Comedy,2017,7.02
17264,Trade safe off,Drama,1969,6.49
17265,Today instead,Fantasy,2017,6.35
17266,Deep white against,Animation,1940,8.0
17267,Lot letter what,Drama,2016,5.7
17268,Beautiful space economic,Drama,1953,6.27
17269,Name still impact cut,Crime,1940,6.25
17270,Yet debate imagine,Action,1999,4.99
17271,Despite when,Thriller,1995,7.18
17272,Bit service grow,Action,1943,7.71
17273,Nation we event,Comedy,1958,6.26
17274,Suggest answer pass,Drama,2002,6.6
17275,Nearly step doctor,Drama,1950,5.78
17276,Those magazine,Drama,1997,5.35
17277,Fill career,Animation,1974,7.27
17278,Result require find,Animation,1959,6.98
17279,Eight crime course prevent,Musical,1985,8.46
17280,Peace southern far,Fantasy,2007,5.32
17281,Source place up,Musical,2018,6.15
17282,Ago authority energy,Thriller,2018,5.07
17283,Raise international,Drama,2023,7.92
17284,Wind sister,Fantasy,1941,7.18
17285,Time defense cup,Action,2014,7.73
17286,Could,Comedy,2014,6.88
17287,Eight kitchen military usually,Fantasy,1988,6.51
17288,Worry bag,Musical,1974,5.61
17289,Whatever easy value,Fantasy,2021,8.68
17290,Place maybe agency,Crime,1996,6.95
17291,Development large kid do,Fantasy,1944,7.89
17292,Scientist religious sort,Thriller,1947,7.85
17293,Reach garden reveal,Crime,1941,5.11
17294,Throughout me public,Thriller,2020,7.84
17295,Black stage,Drama,1976,8.55
17296,Outside kind sound,Crime,1968,8.51
17297,Least prevent,Comedy,1967,6.2
17298,Ask million,Action,1969,6.68
17299,Feel draw,Fantasy,1995,6.25
17300,Accept resource himself yourself,Animation,2014,9.02
17301,Relationship industry,Comedy,1988,6.58
17302,Respond strategy poor,Drama,2003,8.41
17303,Theory career real,Drama,1995,6.4
17304,Everything miss where,Animation,1957,6.55
17305,Long it,Animation,1954,7.12
17306,East tend,Comedy,1959,6.32
17307,Role its,Drama,1984,5.6
17308,Brother food,Drama,1985,7.24
17309,Cup store air,Crime,1971,5.83
17310,If ability,Drama,1978,5.53
17311,Now chance,Comedy,1991,8.67
17312,Reveal up,Comedy,1958,6.4
17313,Foreign unit,Fantasy,1965,7.63
17314,Service clear,Thriller,1960,7.33
17315,Land weight,Drama,2000,9.32
17316,Energy entire set,Comedy,1971,7.77
17317,You keep environment,Animation,2017,6.42
17318,Crime together serve data,Crime,1959,5.42
17319,Baby hotel,Comedy,2014,8.76
17320,Loss,Drama,1997,7.3
17321,Artist,Comedy,1966,7.22
17322,Difficult others,Thriller,2005,6.57
17323,Learn story billion,Animation,2009,6.96
17324,Election class,Thriller,1961,7.32
17325,Court civil,Action,1993,8.36
17326,Me opportunity,Action,1982,6.97
17327,With,Action,2014,7.12
17328,Allow kid happy,Action,1970,5.74
17329,Save whole answer,Comedy,1980,7.78
17330,Within next phone,Sci-Fi,1985,5.84
17331,Whose result now,Musical,1966,6.14
17332,Southern agent natural,Action,1976,6.76
17333,Role outside bad,Sci-Fi,2008,7.25
17334,Road design,Animation,2008,7.06
17335,Generation,Action,2010,6.63
17336,Weight almost,Drama,1951,7.91
17337,Sound suddenly,Action,1961,6.04
17338,Western finally,Fantasy,1997,5.93
17339,Mrs accept measure,Drama,1967,7.89
17340,History those,Comedy,1943,6.58
17341,Trip,Action,1996,6.51
17342,Contain pass list,Drama,2014,7.35
17343,Responsibility girl,Fantasy,1979,6.28
17344,Early themselves will,Thriller,1946,7.02
17345,Prevent standard,Thriller,1962,4.62
17346,Mrs benefit,Thriller,1980,7.43
17347,Oil same change,Comedy,1969,7.93
17348,Arm physical always,Thriller,2004,6.09
17349,Matter soon,Fantasy,2019,7.13
17350,Style drug past social,Action,1945,6.67
17351,Decide hot,Action,2005,6.15
17352,Piece your,Thriller,1987,7.5
17353,Task heart,Drama,1981,6.77
17354,Station true,Action,1994,7.12
17355,Century bring however,Thriller,1957,6.51
17356,Mrs where morning,Drama,1966,9.32
17357,Environment away,Thriller,2003,7.61
17358,Would during,Crime,1957,7.98
17359,Window appear,Thriller,2007,7.33
17360,Network after,Crime,1991,7.24
17361,Myself nothing dinner,Comedy,2021,7.11
17362,Return forget social,Thriller,2003,6.49
17363,Provide fund,Drama,1960,6.79
17364,Main player,Fantasy,2001,6.25
17365,Least discover foot feeling,Action,2003,6.47
17366,Picture happen,Fantasy,1954,7.8
17367,Evidence feeling money,Thriller,2023,6.54
17368,Might character,Drama,1985,6.8
17369,Environmental maintain,Animation,1973,6.55
17370,Well prevent,Thriller,1998,6.39
17371,Deal well,Animation,1977,7.43
17372,That alone,Drama,2015,6.83
17373,Party relate mean,Fantasy,1958,7.77
17374,Agent third,Drama,1965,6.88
17375,Thus water agency,Comedy,2022,7.67
17376,Work,Thriller,1997,7.26
17377,Second spring born,Action,2020,7.6
17378,Trial direction,Comedy,1960,8.25
17379,Each present team realize,Drama,2000,7.68
17380,Can speech,Action,1982,7.94
17381,Toward,Thriller,2008,3.6
17382,Then base national,Drama,1977,7.75
17383,Now reach,Action,1967,5.78
17384,Knowledge long,Animation,2007,6.64
17385,Language tough for,Drama,1956,7.64
17386,Less good pull,Drama,1941,8.35
17387,Avoid share authority,Thriller,2013,6.73
17388,Change together,Comedy,2023,7.65
17389,Half general price,Drama,1994,7.48
17390,Sing type push,Drama,1981,7.91
17391,Large subject,Drama,2010,6.92
17392,Baby interest nothing,Comedy,1946,5.97
17393,Determine local,Comedy,2009,6.96
17394,Follow adult,Sci-Fi,1990,6.68
17395,Everything until,Comedy,1945,7.63
17396,Society expert stuff,Fantasy,1959,7.02
17397,Account line,Fantasy,2016,8.32
17398,Remember writer election,Thriller,2001,4.63
17399,Article article,Action,1983,7.21
17400,Finally else on shake,Crime,2017,5.41
17401,Admit build machine,Thriller,1942,7.38
17402,Size agreement,Action,1979,6.24
17403,Nice itself,Fantasy,1943,4.97
17404,Know among mother,Crime,1965,7.09
17405,Develop recent,Animation,2003,9.76
17406,Wind similar agent,Crime,1977,6.37
17407,Discuss significant TV,Animation,1992,6.77
17408,Fish security,Fantasy,2010,6.89
17409,Billion fish task,Action,1985,7.51
17410,Seek art,Comedy,2004,7.56
17411,Speak class,Comedy,1950,6.32
17412,Go require,Thriller,1988,7.27
17413,Which expect opportunity up,Drama,1953,6.74
17414,Dark,Action,1978,5.06
17415,Threat surface,Drama,2011,8.53
17416,Final their,Drama,1943,7.09
17417,Final share type,Action,1968,8.62
17418,Many painting maybe,Action,1970,8.29
17419,Claim us,Fantasy,1972,7.76
17420,Method board firm,Drama,1993,7.17
17421,Police color,Animation,1978,8.24
17422,Step,Action,2018,3.47
17423,Reach hope,Comedy,2009,7.52
17424,Those this,Drama,2014,7.67
17425,Card tend yard,Musical,1957,8.51
17426,End owner everything,Thriller,2018,6.5
17427,Region by likely,Crime,2003,7.21
17428,Food maybe too action,Action,2014,7.35
17429,Film hundred,Comedy,1966,8.29
17430,Bed religious term,Comedy,1961,7.11
17431,Well charge,Action,1953,6.84
17432,Wear against,Drama,1943,6.66
17433,Wear include party,Thriller,1949,7.38
17434,Kind thank loss,Comedy,1967,7.73
17435,Health station,Drama,1977,6.76
17436,Adult partner remember,Action,1987,5.78
17437,Network save woman,Drama,2010,7.62
17438,All interview kitchen house,Sci-Fi,2023,7.56
17439,Adult pay,Fantasy,2015,6.01
17440,Lead here paper professional,Fantasy,1993,8.88
17441,Past,Fantasy,1952,6.26
17442,Order soon,Crime,2016,5.07
17443,There peace,Comedy,2020,8.8
17444,Light beyond,Action,1975,8.02
17445,Minute fire environment,Fantasy,1961,8.64
17446,Budget surface look,Crime,1958,8.17
17447,Fast look,Fantasy,2014,7.49
17448,The business,Drama,1971,6.08
17449,Kind support way,Crime,2005,9.3
17450,Book buy,Drama,1984,6.45
17451,Last in,Action,1994,5.8
17452,Story,Action,1975,5.72
17453,Painting these,Thriller,1965,10.0
17454,Receive difference kid,Action,1952,7.82
17455,Summer player candidate,Drama,2019,7.93
17456,Fish note expert,Comedy,1948,8.75
17457,Successful,Action,1980,7.21
17458,Record organization,Musical,1940,6.43
17459,Drop join might,Action,1966,6.83
17460,Agreement production teach wide,Action,1975,5.39
17461,Support,Crime,1947,6.23
17462,Also place list,Action,2014,5.43
17463,Scene seem,Action,1957,8.58
17464,Help six health,Fantasy,1953,7.62
17465,Consider analysis explain,Animation,2004,8.92
17466,Course time,Drama,2009,8.54
17467,Nothing suggest,Action,2011,6.04
17468,Buy activity,Action,1987,6.83
17469,Necessary alone trade buy,Crime,1974,6.82
17470,Resource rise make,Comedy,1988,6.72
17471,Guess start offer,Action,1950,6.78
17472,Support maybe commercial,Fantasy,1982,6.85
17473,Film while piece,Comedy,1948,7.55
17474,Magazine accept,Drama,1952,7.07
17475,Set recently since,Action,2013,8.58
17476,Sure ten,Musical,1988,6.37
17477,Door with expert,Drama,1947,6.07
17478,List building,Thriller,1967,4.78
17479,Apply arrive,Comedy,1982,5.4
17480,Hair,Animation,1976,7.09
17481,Environment,Comedy,1987,7.44
17482,First might,Action,1984,7.85
17483,Those audience,Drama,2011,8.42
17484,Free,Action,1940,8.11
17485,About lot,Drama,2014,5.53
17486,Tree three,Animation,1961,7.47
17487,Physical when paper,Crime,2013,5.4
17488,Never above discussion,Drama,1993,7.39
17489,Guess movement itself television,Drama,1997,6.91
17490,Agent,Fantasy,1949,6.59
17491,Far glass,Thriller,2017,6.52
17492,Campaign then,Crime,1954,4.7
17493,Traditional some,Action,1954,6.48
17494,Worry,Crime,2005,7.2
17495,Rich effect rich,Comedy,1947,7.95
17496,Home hair,Drama,1966,6.53
17497,Record control,Crime,1977,6.3
17498,Do future,Drama,2022,6.33
17499,Democrat draw foot,Fantasy,1985,6.22
17500,Soldier current leave,Action,1953,5.57
17501,Will why notice,Fantasy,1972,6.42
17502,Building number suggest,Thriller,2003,5.64
17503,Station news,Action,1979,7.98
17504,Key environment understand,Thriller,1961,6.2
17505,Top where sit,Comedy,1948,6.09
17506,Politics fly,Animation,1977,9.01
17507,Analysis bag,Musical,1968,6.18
17508,Short statement especially,Drama,1978,7.05
17509,Consider every,Comedy,1996,7.88
17510,Third stay at street,Animation,1993,6.91
17511,Find attorney,Action,1949,5.75
17512,Conference different indeed set,Crime,2021,6.72
17513,Example Congress,Thriller,1961,5.69
17514,Tonight population try,Sci-Fi,1990,7.28
17515,Modern eat man,Sci-Fi,1970,7.16
17516,Since return do,Drama,1998,6.79
17517,Condition put,Animation,2006,8.06
17518,Evidence table skin,Comedy,1980,5.82
17519,Including one,Fantasy,2006,6.25
17520,Source power walk,Action,1979,6.68
17521,Media computer seat,Action,1948,5.16
17522,Pay reach series,Musical,2019,5.9
17523,Claim real,Comedy,1953,8.56
17524,Among party,Animation,1985,6.43
17525,Respond forward,Drama,1976,5.96
17526,Why hear,Musical,2007,7.41
17527,Person eye,Sci-Fi,1958,6.29
17528,Candidate allow,Drama,2010,6.54
17529,Base middle,Thriller,1949,6.32
17530,Lead,Fantasy,1965,7.5
17531,World physical land behind,Drama,1964,6.23
17532,Candidate kind general,Crime,2003,8.23
17533,Trial southern,Crime,1946,5.75
17534,Executive institution art,Fantasy,1980,6.91
17535,Notice camera song,Drama,2018,7.22
17536,Stand start,Animation,1973,7.59
17537,Blue them,Action,1997,10.0
17538,Leg fill leader,Animation,1947,7.66
17539,Wall film finish field,Animation,1966,6.9
17540,Down knowledge,Drama,1981,6.91
17541,Western cover never,Thriller,2012,5.96
17542,Growth fly for,Animation,1959,6.77
17543,Case learn,Drama,2010,8.22
17544,Will somebody stop,Comedy,1958,8.7
17545,Read memory loss,Drama,1958,7.69
17546,Statement hope,Fantasy,2004,7.71
17547,A scene,Drama,2021,6.15
17548,Might oil,Animation,2024,6.91
17549,Not likely,Drama,1985,7.23
17550,Interest,Comedy,1964,6.52
17551,Must place,Action,1986,6.69
17552,Truth science light,Comedy,1951,7.59
17553,Rise relate court,Action,2012,6.68
17554,Tend without,Drama,2014,6.98
17555,Must thought,Action,2002,8.74
17556,Indicate each,Sci-Fi,1989,7.67
17557,Player city,Thriller,1944,5.92
17558,Enter thus,Thriller,1942,6.54
17559,Yet development project,Drama,1995,6.36
17560,Score week pay,Drama,2017,6.15
17561,Difficult record,Fantasy,1994,7.57
17562,Movement popular relate,Action,1970,5.89
17563,Man,Fantasy,1973,8.34
17564,Ability box unit,Musical,2014,8.1
17565,Doctor,Fantasy,1971,8.76
17566,Discover huge,Fantasy,1983,8.1
17567,Mr point,Comedy,1954,8.0
17568,Building expect factor,Comedy,1974,7.81
17569,Level store,Sci-Fi,1987,8.54
17570,Cell set consider,Drama,1964,7.67
17571,Region offer,Comedy,1989,7.44
17572,Stop several,Sci-Fi,1979,7.58
17573,Feeling specific firm,Crime,2008,9.27
17574,Less offer glass,Action,1954,7.26
17575,Material upon mention,Thriller,1968,5.88
17576,Than agent traditional,Sci-Fi,2016,7.36
17577,Ago bank,Comedy,1970,6.82
17578,Important national,Drama,1965,6.96
17579,As ground than life,Comedy,1970,7.41
17580,Program recent top,Drama,1951,6.23
17581,Up office sport trouble,Crime,1978,7.14
17582,Bar be easy,Sci-Fi,1981,6.96
17583,Reality,Action,2024,6.12
17584,History experience,Fantasy,2015,6.54
17585,Have social,Animation,1962,8.28
17586,Account indeed,Thriller,1964,5.03
17587,Drug world,Sci-Fi,2010,8.61
17588,Expert so,Animation,1951,7.97
17589,Door matter western,Drama,1973,6.55
17590,Budget offer degree,Animation,1991,7.09
17591,President large toward,Drama,1977,6.22
17592,Human cup industry,Animation,2004,8.74
17593,Tv stock hold product,Animation,1947,6.98
17594,Magazine itself general,Crime,2017,7.66
17595,Despite finish,Drama,2002,7.07
17596,Through full,Drama,1970,6.17
17597,Something of,Action,2006,5.93
17598,Fill,Animation,2023,7.82
17599,Throughout customer,Sci-Fi,2007,7.92
17600,Player production finally,Drama,1946,6.12
17601,Push development exist,Crime,2024,7.7
17602,Important meet,Drama,1995,7.68
17603,Do young cut participant,Thriller,1972,7.06
17604,Score plant property,Sci-Fi,1957,7.88
17605,Star compare onto,Action,1985,6.92
17606,Interesting major try,Drama,1995,6.84
17607,Most,Drama,1951,7.09
17608,Pressure spend,Crime,1944,5.77
17609,Responsibility gas,Comedy,2020,6.08
17610,Sing office,Drama,2001,6.07
17611,Mr market collection,Comedy,1965,7.28
17612,Try church kitchen,Fantasy,1967,7.83
17613,First out,Sci-Fi,1992,6.45
17614,Kitchen fine write,Action,1945,5.53
17615,Bring prove,Comedy,2022,5.83
17616,Herself answer step,Drama,1971,7.84
17617,Must company mean successful,Animation,1997,6.4
17618,Among mother weight,Animation,1960,7.43
17619,Language as station,Thriller,1984,7.3
17620,Forward perhaps,Crime,1990,4.72
17621,Western force usually,Crime,1994,6.46
17622,Eight land fly,Action,1993,6.4
17623,Run onto color suffer,Sci-Fi,1942,6.02
17624,May side door,Comedy,1980,5.46
17625,Hour join,Thriller,2014,7.81
17626,Either box machine produce,Action,1951,6.16
17627,Public offer,Musical,1983,7.22
17628,All away successful provide,Fantasy,1972,7.56
17629,Everyone interesting,Drama,1956,7.22
17630,However head character,Fantasy,2005,8.29
17631,Someone maybe,Musical,2000,6.54
17632,Writer series,Fantasy,1957,5.59
17633,Factor example,Fantasy,1969,8.0
17634,Catch season store,Comedy,2001,7.44
17635,Enter of growth,Action,1991,3.79
17636,Store result,Action,1973,6.73
17637,Amount situation however,Action,1963,6.91
17638,Reach black,Action,2010,6.54
17639,Join way positive,Sci-Fi,1982,7.15
17640,Without family,Drama,1981,6.17
17641,Almost again hear,Action,1948,7.28
17642,Right performance hold,Fantasy,1997,7.88
17643,Simply moment sit,Crime,1958,6.44
17644,Six hold,Thriller,2022,7.23
17645,Mention attack light,Drama,1981,6.38
17646,Direction north,Thriller,1997,6.7
17647,Out subject data,Action,1958,4.24
17648,Feel cover,Crime,1974,5.44
17649,Help hotel,Sci-Fi,2020,7.33
17650,Sister church already,Sci-Fi,2021,6.79
17651,Ground century,Action,1955,6.21
17652,Prove marriage,Comedy,1988,8.08
17653,Attorney past,Thriller,1991,6.1
17654,Recent why letter never,Crime,1945,5.94
17655,Blue station,Fantasy,1959,7.51
17656,Against race,Sci-Fi,1946,6.54
17657,Production toward,Action,2019,9.64
17658,His without,Drama,1976,6.32
17659,Almost,Fantasy,1994,7.79
17660,Rate author,Drama,1960,6.01
17661,Campaign top,Drama,1984,8.28
17662,Financial health,Fantasy,1966,6.67
17663,Serious call term strategy,Action,1947,8.42
17664,Different relate performance,Animation,1962,7.28
17665,Peace ability about,Drama,1979,7.59
17666,Get change Mrs,Fantasy,1991,6.35
17667,Law different,Drama,2009,6.4
17668,Culture happen two,Action,2017,7.28
17669,Beyond,Action,2006,4.97
17670,Factor and section,Animation,1968,7.2
17671,Operation everybody huge capital,Crime,1995,5.94
17672,Writer just ability,Animation,2007,8.03
17673,Up nation,Animation,1955,6.88
17674,Their,Crime,1941,5.74
17675,Look opportunity candidate,Comedy,1974,5.6
17676,American,Animation,2009,8.58
17677,Avoid many Mrs,Comedy,1948,7.17
17678,Security believe read environment,Action,1961,7.72
17679,Suffer part,Thriller,1983,9.64
17680,Decade street deal,Drama,1977,6.39
17681,Fly interview executive,Action,1947,3.96
17682,Black first,Musical,1973,5.42
17683,All evening ago,Thriller,1976,5.01
17684,Film single since,Thriller,1995,6.2
17685,List Democrat,Action,1999,5.06
17686,Seat off,Comedy,2015,6.48
17687,Government gas second,Drama,1945,5.4
17688,End time news,Action,1964,4.84
17689,Enter their know,Drama,1995,8.35
17690,At research,Drama,1986,7.65
17691,Focus enter,Drama,1956,6.06
17692,Fall control friend,Drama,1956,7.81
17693,Hair turn,Thriller,1944,7.97
17694,Talk often,Crime,1948,4.1
17695,Just country,Drama,1980,7.61
17696,Officer allow,Action,1988,6.87
17697,Until plant Congress success,Crime,2005,5.67
17698,Artist really,Comedy,2005,6.37
17699,Produce report,Action,2012,6.5
17700,Word human,Sci-Fi,1991,7.52
17701,Newspaper star,Animation,2005,6.96
17702,Activity wish pretty,Action,1955,6.16
17703,Strong event thousand,Drama,2019,5.63
17704,Out,Action,1972,7.11
17705,Every collection,Drama,1993,8.95
17706,Only fill agency,Action,1990,7.67
17707,Employee good particularly,Animation,1985,7.88
17708,Pressure lay size want,Comedy,1943,6.48
17709,Thousand investment specific,Comedy,1965,6.68
17710,Music run cultural,Crime,1946,5.27
17711,Hand lead,Drama,2007,8.36
17712,Window on plan,Comedy,2011,6.54
17713,Thank this worker,Action,2008,4.72
17714,Mission tell marriage,Thriller,1994,6.53
17715,Phone doctor single,Fantasy,1961,6.85
17716,Girl,Musical,1979,7.51
17717,Sell region million,Comedy,2019,5.72
17718,Environmental,Fantasy,1973,6.8
17719,Able eat,Drama,1989,7.01
17720,Owner career,Comedy,2012,7.54
17721,Car itself quality,Comedy,2018,7.54
17722,Various court than social,Comedy,1984,7.75
17723,Worry catch hard,Crime,1989,6.9
17724,Method agent need,Comedy,1982,7.41
17725,Man cultural magazine,Animation,1966,5.95
17726,Per,Drama,1951,6.35
17727,On me,Fantasy,2023,6.46
17728,Research likely look,Comedy,1991,6.01
17729,Example institution,Thriller,1962,4.96
17730,Population wonder go value,Drama,2016,6.75
17731,Shoulder,Crime,2018,7.35
17732,Most join citizen,Musical,1969,5.91
17733,Low,Fantasy,1969,8.26
17734,Including start whatever,Crime,1998,6.58
17735,Movement building,Fantasy,1996,7.63
17736,Before should this,Musical,1942,6.08
17737,All large,Action,1947,5.71
17738,Type subject,Musical,1989,7.26
17739,Capital president,Crime,1982,6.09
17740,Report,Animation,1966,6.87
17741,Wind message executive,Animation,1988,7.16
17742,Treat difference travel travel,Musical,1985,5.94
17743,Staff draw,Animation,1982,8.1
17744,Lay box drop,Drama,2006,8.19
17745,Purpose west happen,Action,2001,6.02
17746,Deep,Fantasy,1971,7.72
17747,Election majority,Drama,1978,7.09
17748,Teach brother throw,Animation,1993,8.01
17749,Start,Drama,1981,6.9
17750,Place statement,Thriller,2019,6.88
17751,Special begin,Comedy,1997,6.47
17752,Thing fast,Thriller,1962,6.37
17753,Federal green,Thriller,1952,6.22
17754,Six hard represent,Crime,1985,6.8
17755,Call alone magazine bill,Action,1979,5.75
17756,Tax performance,Drama,1974,8.23
17757,Fund control,Comedy,1946,6.51
17758,Manage every hour Republican,Action,1940,6.54
17759,Knowledge cut culture,Comedy,1952,7.04
17760,Choice peace,Action,1951,7.11
17761,Break head,Musical,2002,7.84
17762,Protect not camera,Comedy,1997,8.48
17763,Leave develop dark,Thriller,1950,8.14
17764,Street,Fantasy,2005,6.5
17765,Give college organization,Drama,2003,7.61
17766,Good quite matter,Sci-Fi,1982,7.6
17767,Employee theory,Comedy,1963,6.97
17768,Heart never door,Animation,1988,7.21
17769,Source outside nature,Fantasy,1946,5.81
17770,Structure month,Animation,1965,7.98
17771,Read same gun,Action,1954,5.16
17772,Them enjoy over answer,Animation,1981,8.79
17773,Market may for box,Drama,1992,7.6
17774,Role mouth follow,Thriller,1977,5.8
17775,Style inside technology,Musical,1994,9.01
17776,Need street head,Drama,1946,6.79
17777,Beyond game,Musical,2009,8.05
17778,East else,Action,1950,5.76
17779,Explain own play,Musical,1962,6.96
17780,White,Comedy,2009,8.72
17781,Mind box,Drama,1946,6.77
17782,Rest choice,Thriller,1940,5.84
17783,What itself,Animation,1958,8.09
17784,Raise cup,Action,2005,5.96
17785,Design let one,Drama,1999,6.25
17786,Economic force firm,Action,1981,8.33
17787,Little charge issue,Fantasy,2005,8.65
17788,No career you,Drama,1991,7.34
17789,Wrong business bed,Fantasy,1982,6.79
17790,Source other price present,Action,1974,7.45
17791,Best sport seem,Crime,1946,6.39
17792,Indeed thus,Comedy,2013,6.85
17793,Paper several give there,Comedy,1980,6.66
17794,Authority education,Thriller,1978,6.45
17795,Chance herself,Action,2013,6.75
17796,Pretty,Comedy,2004,7.5
17797,Thank site performance,Comedy,1945,5.91
17798,Son,Musical,1987,6.85
17799,Ahead above,Musical,2012,8.44
17800,Large laugh step,Drama,1981,7.51
17801,Their contain order,Crime,1988,5.9
17802,Act involve,Comedy,1999,7.53
17803,Service somebody media,Crime,1963,6.52
17804,Stuff form,Action,1945,7.13
17805,Majority chair,Action,2021,8.33
17806,Cost leader yeah buy,Drama,1974,5.43
17807,Give color traditional,Drama,1959,8.01
17808,Prepare indeed,Drama,1973,5.54
17809,Investment here trouble,Drama,1986,6.24
17810,Add two,Drama,1947,9.45
17811,Sister production attention,Thriller,2005,5.48
17812,Feeling a,Action,1981,6.33
17813,As law where,Crime,1981,7.56
17814,Family cell,Thriller,2009,8.45
17815,Heavy health news candidate,Drama,1975,4.33
17816,Company eight fill,Action,1956,5.19
17817,Important trip,Crime,1958,5.47
17818,We their,Comedy,2020,8.43
17819,Model really,Fantasy,1963,7.05
17820,Role every enough,Musical,1982,6.9
17821,Bring know,Fantasy,2013,7.2
17822,Affect whom miss price,Action,1962,7.74
17823,Spring computer force buy,Animation,1973,7.32
17824,Since exactly respond,Thriller,1960,6.39
17825,Or able president,Action,1968,5.74
17826,Rest apply third,Drama,2020,6.96
17827,This budget,Crime,1943,7.1
17828,Art,Animation,1974,8.45
17829,Daughter positive instead,Animation,2020,7.74
17830,Safe serve fine,Fantasy,1993,6.88
17831,How television serious,Drama,1958,6.73
17832,Position guess open which,Comedy,1993,7.07
17833,Approach whom,Comedy,2004,7.97
